,Product_Name,GPU_Chip,Released,Bus,Memory,GPU_clock,Memory_clock,Shaders_TMUs_ROPs
569,Radeon PRO W6600M,Navi 23,"Jun 8th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 128 bit",2200 MHz,1750 MHz,1792 / 112 / 64
570,Radeon PRO W6800,Navi 21,"Jun 8th, 2021",PCIe 4.0 x16,"32 GB, GDDR6, 256 bit",2075 MHz,2000 MHz,3840 / 240 / 96
571,Radeon PRO W6800X,Navi 21,"Aug 3rd, 2021",PCIe 4.0 x16,"32 GB, GDDR6, 256 bit",1800 MHz,2000 MHz,3840 / 240 / 96
572,Radeon PRO W6800X Duo,Navi 21,"Aug 3rd, 2021",PCIe 4.0 x16,"32 GB, GDDR6, 256 bit",1800 MHz,2000 MHz,3840 / 240 / 96
573,Radeon PRO W6900X,Navi 21,"Aug 3rd, 2021",PCIe 4.0 x16,"32 GB, GDDR6, 256 bit",1825 MHz,2000 MHz,5120 / 320 / 128
574,Radeon RX 6600,Navi 23,"Oct 13th, 2021",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1626 MHz,1750 MHz,1792 / 112 / 64
575,Radeon RX 6600 XT,Navi 23,"Jul 30th, 2021",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1968 MHz,2000 MHz,2048 / 128 / 64
576,Radeon RX 6600M,Navi 23,"May 31st, 2021",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",2068 MHz,1750 MHz,1792 / 112 / 64
577,Radeon RX 6700,Navi 22,"Jun 9th, 2021",PCIe 4.0 x16,"10 GB, GDDR6, 160 bit",1941 MHz,2000 MHz,2304 / 144 / 64
578,Radeon RX 6700 XT,Navi 22,"Mar 3rd, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2321 MHz,2000 MHz,2560 / 160 / 64
579,Radeon RX 6700M,Navi 22,"May 31st, 2021",PCIe 4.0 x16,"10 GB, GDDR6, 160 bit",1489 MHz,2000 MHz,2304 / 144 / 64
580,Radeon RX 6800M,Navi 22,"May 31st, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2116 MHz,2000 MHz,2560 / 160 / 64
581,Arctic Sound 1T,Arctic Sound,2021,PCIe 4.0 x16,"16 GB, HBM2e, 4096 bit",900 MHz,1200 MHz,6144 / 192 / 96
582,Arctic Sound 2T,Arctic Sound,2021,PCIe 4.0 x16,"16 GB, HBM2e, 4096 bit",900 MHz,1200 MHz,7680 / 240 / 120
583,UHD Graphics,Rocket Lake GT1,2021,Ring Bus,System Shared,300 MHz,System Shared,128 / 8 / 8
584,UHD Graphics,Tiger Lake GT1,2021,Ring Bus,System Shared,350 MHz,System Shared,256 / 16 / 8
585,UHD Graphics 16EU,Jasper Lake GT1,"Jan 11th, 2021",Ring Bus,System Shared,350 MHz,System Shared,128 / 8 / 4
586,UHD Graphics 24EU,Jasper Lake GT1,"Jan 11th, 2021",Ring Bus,System Shared,350 MHz,System Shared,192 / 12 / 6
587,UHD Graphics 32EU,Jasper Lake GT1,"Jan 11th, 2021",Ring Bus,System Shared,350 MHz,System Shared,256 / 16 / 8
588,UHD Graphics 730,Rocket Lake GT1,"Mar 30th, 2021",Ring Bus,System Shared,300 MHz,System Shared,192 / 12 / 8
589,UHD Graphics 750,Rocket Lake GT1,"Mar 30th, 2021",Ring Bus,System Shared,300 MHz,System Shared,256 / 16 / 8
590,UHD Graphics 770,Alder Lake GT1,"Nov 4th, 2021",Ring Bus,System Shared,300 MHz,System Shared,256 / 16 / 8
591,UHD Graphics P750,Rocket Lake GT1,2021,Ring Bus,System Shared,300 MHz,System Shared,256 / 64 / 32
592,A10 PCIe,GA102,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, GDDR6, 384 bit",885 MHz,1563 MHz,9216 / 288 / 96
593,A100 PCIe 80 GB,GA100,"Jun 28th, 2021",PCIe 4.0 x16,"80 GB, HBM2e, 5120 bit",1065 MHz,1593 MHz,6912 / 432 / 160
594,A100X,GA100,"Jun 28th, 2021",PCIe 4.0 x8,"80 GB, HBM2e, 5120 bit",795 MHz,1593 MHz,6912 / 432 / 160
595,A10G,GA102,"Apr 12th, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1320 MHz,1563 MHz,9216 / 288 / 96
596,A16 PCIe,GA107,"Apr 12th, 2021",PCIe 4.0 x8,"16 GB, GDDR6, 128 bit",1312 MHz,1563 MHz,1280 / 40 / 32
597,A2,GA107,"Nov 10th, 2021",PCIe 4.0 x8,"16 GB, GDDR6, 128 bit",1440 MHz,1563 MHz,1280 / 40 / 32
598,A30 PCIe,GA100,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, HBM2e, 3072 bit",930 MHz,1215 MHz,3584 / 224 / 96
599,A30X,GA100,"Apr 12th, 2021",PCIe 4.0 x8,"24 GB, HBM2e, 3072 bit",1035 MHz,1593 MHz,3584 / 224 / 96
600,CMP 170HX 10 GB,GA100,"Sep 1st, 2021",PCIe 4.0 x4,"10 GB, HBM2e, 5120 bit",1140 MHz,1215 MHz,4480 / 280 / 128
601,CMP 170HX 8 GB,GA100,"Sep 1st, 2021",PCIe 4.0 x4,"8 GB, HBM2e, 4096 bit",1140 MHz,1458 MHz,4480 / 280 / 128
602,CMP 30HX,TU116,"Feb 25th, 2021",PCIe 3.0 x4,"6 GB, GDDR6, 192 bit",1530 MHz,1750 MHz,1408 / 88 / 48
603,CMP 40HX,TU106,"Feb 25th, 2021",PCIe 3.0 x16,"8 GB, GDDR6, 256 bit",1470 MHz,1750 MHz,2304 / 144 / 64
604,CMP 50HX,TU102,"Jun 24th, 2021",PCIe 3.0 x16,"10 GB, GDDR6, 320 bit",1350 MHz,1750 MHz,3584 / 192 / 80
605,CMP 70HX,GA104,Unknown,PCIe 4.0 x16,"8 GB, GDDR6X, 256 bit",1365 MHz,1188 MHz,6144 / 192 / 96
606,CMP 90HX,GA102,"Jul 28th, 2021",PCIe 4.0 x16,"10 GB, GDDR6X, 320 bit",1500 MHz,1188 MHz,6400 / 200 / 80
607,GeForce GT 1010,GP108,"Jan 13th, 2021",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",1228 MHz,1502 MHz,256 / 16 / 8
608,GeForce GT 1010 DDR4,GP108,"Jan 13th, 2021",PCIe 3.0 x4,"2 GB, DDR4, 64 bit",1152 MHz,1050 MHz,256 / 16 / 8
609,GeForce MX570,GA107S,"Dec 17th, 2021",PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",1087 MHz,1500 MHz,2048 / 64 / 40
610,GeForce RTX 2050 Max-Q,GA107,"Dec 17th, 2021",PCIe 3.0 x8,"4 GB, GDDR6, 64 bit",832 MHz,1500 MHz,2048 / 64 / 32
611,GeForce RTX 2050 Mobile,GA107,"Dec 17th, 2021",PCIe 3.0 x8,"4 GB, GDDR6, 64 bit",735 MHz,1750 MHz,2048 / 64 / 32
612,GeForce RTX 2060 12 GB,TU106,"Dec 7th, 2021",PCIe 3.0 x16,"12 GB, GDDR6, 192 bit",1470 MHz,1750 MHz,2176 / 136 / 48
613,GeForce RTX 3050 Max-Q,GA107,"May 11th, 2021",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",712 MHz,1375 MHz,2048 / 64 / 32
614,GeForce RTX 3050 Mobile,GA107,"May 11th, 2021",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1065 MHz,1500 MHz,2048 / 64 / 32
615,GeForce RTX 3050 Ti Mobile,GA106,"May 11th, 2021",PCIe 4.0 x16,"4 GB, GDDR6, 128 bit",735 MHz,1500 MHz,2560 / 80 / 48
616,GeForce RTX 3050 Ti Mobile,GA107,"May 11th, 2021",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",735 MHz,1500 MHz,2560 / 80 / 32
617,GeForce RTX 3060,GA106,"Jan 12th, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",1320 MHz,1875 MHz,3584 / 112 / 48
618,GeForce RTX 3060 12 GB GA104,GA104,"Sep 1st, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",1320 MHz,1875 MHz,3584 / 112 / 48
619,GeForce RTX 3060 Max-Q,GA106,"Jan 12th, 2021",PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",817 MHz,1500 MHz,3840 / 120 / 48
620,GeForce RTX 3060 Mobile,GA106,"Jan 12th, 2021",PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",900 MHz,1750 MHz,3840 / 120 / 48
621,GeForce RTX 3070 Max-Q,GA104,"Jan 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",780 MHz,1500 MHz,5120 / 160 / 80
622,GeForce RTX 3070 Mobile,GA104,"Jan 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1110 MHz,1750 MHz,5120 / 160 / 80
623,GeForce RTX 3070 Ti,GA104,"May 31st, 2021",PCIe 4.0 x16,"8 GB, GDDR6X, 256 bit",1575 MHz,1188 MHz,6144 / 192 / 96
624,GeForce RTX 3080 Max-Q,GA104,"Jan 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",780 MHz,1500 MHz,6144 / 192 / 96
625,GeForce RTX 3080 Mobile,GA104,"Jan 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1110 MHz,1750 MHz,6144 / 192 / 96
626,GeForce RTX 3080 Ti,GA102,"May 31st, 2021",PCIe 4.0 x16,"12 GB, GDDR6X, 384 bit",1365 MHz,1188 MHz,10240 / 320 / 112
627,PG506-207,GA100,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, HBM2, 3072 bit",930 MHz,1215 MHz,3584 / 224 / 96
628,PG506-217,GA100,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, HBM2, 3072 bit",930 MHz,1215 MHz,3584 / 224 / 96
629,PG506-232,GA100,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, HBM2, 3072 bit",930 MHz,1215 MHz,3584 / 224 / 96
630,PG506-242,GA100,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, HBM2, 3072 bit",930 MHz,1215 MHz,3584 / 224 / 96
631,Quadro T1200 Max-Q,TU117,"Apr 12th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 128 bit",855 MHz,1250 MHz,1024 / 64 / 32
632,Quadro T1200 Mobile,TU117,"Apr 12th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 128 bit",1515 MHz,1500 MHz,1024 / 64 / 32
633,RTX A2000,GA106,"Aug 10th, 2021",PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",562 MHz,1500 MHz,3328 / 104 / 48
634,RTX A2000 12 GB,GA106,"Nov 23rd, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",562 MHz,1500 MHz,3328 / 104 / 48
635,RTX A2000 Max-Q,GA106,"Apr 12th, 2021",PCIe 4.0 x16,"4 GB, GDDR6, 128 bit",682 MHz,1375 MHz,2560 / 80 / 48
636,RTX A2000 Mobile,GA106,"Apr 12th, 2021",PCIe 4.0 x16,"4 GB, GDDR6, 128 bit",1215 MHz,1500 MHz,2560 / 80 / 48
637,RTX A3000 Mobile,GA104,Unknown,PCIe 4.0 x16,"6 GB, GDDR6, 192 bit",600 MHz,1375 MHz,4096 / 128 / 64
638,RTX A3000 Mobile 12 GB,GA104,Unknown,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",495 MHz,1750 MHz,4096 / 128 / 64
639,RTX A4 Mobile,GA107,2021,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1297 MHz,1750 MHz,2048 / 64 / 32
640,RTX A4000,GA104,"Apr 12th, 2021",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",735 MHz,1750 MHz,6144 / 192 / 96
641,RTX A4000 Max-Q,GA104,"Apr 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",780 MHz,1375 MHz,5120 / 160 / 80
642,RTX A4000 Mobile,GA104,"Apr 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1140 MHz,1500 MHz,5120 / 160 / 80
643,RTX A4000H,GA104,"Apr 12th, 2021",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",735 MHz,1750 MHz,6144 / 192 / 96
644,RTX A4500,GA102,"Nov 23rd, 2021",PCIe 4.0 x16,"20 GB, GDDR6, 320 bit",1050 MHz,2000 MHz,7168 / 224 / 96
645,RTX A500,GA107,"Nov 10th, 2021",PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",1440 MHz,1750 MHz,2048 / 64 / 32
646,RTX A5000,GA102,"Apr 12th, 2021",PCIe 4.0 x16,"24 GB, GDDR6, 384 bit",1170 MHz,2000 MHz,8192 / 256 / 96
647,RTX A5000 Max-Q,GA104,Unknown,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",720 MHz,1500 MHz,6144 / 192 / 96
648,RTX A5000 Mobile,GA104,Unknown,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",900 MHz,1750 MHz,6144 / 192 / 96
649,RTX A5000-12Q,GA102,"Apr 12th, 2021",PCIe 4.0 x16,"12 GB, GDDR6, 384 bit",1170 MHz,2000 MHz,8192 / 256 / 96
650,RTX A5000-8Q,GA102,"Apr 12th, 2021",PCIe 4.0 x16,"8 GB, GDDR6, 384 bit",1170 MHz,2000 MHz,8192 / 256 / 96
651,T1000,TU117,"May 6th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 128 bit",1065 MHz,1250 MHz,896 / 56 / 32
652,T1000 8 GB,TU117,"May 6th, 2021",PCIe 3.0 x16,"8 GB, GDDR6, 128 bit",1065 MHz,1250 MHz,896 / 56 / 32
653,T400,TU117,"May 6th, 2021",PCIe 3.0 x16,"2 GB, GDDR6, 64 bit",420 MHz,1250 MHz,384 / 24 / 16
654,T400 4 GB,TU117,"May 6th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 64 bit",420 MHz,1250 MHz,384 / 24 / 16
655,T600,TU117,"Apr 12th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 128 bit",735 MHz,1250 MHz,640 / 40 / 32
656,T600 Mobile,TU117,"Apr 12th, 2021",PCIe 3.0 x16,"4 GB, GDDR6, 128 bit",930 MHz,1250 MHz,896 / 56 / 32
657,Playstation 5 GPU,Oberon Plus,"Sep 28th, 2022",IGP,"16 GB, GDDR6, 256 bit",2233 MHz,1750 MHz,2304 / 144 / 64
658,Radeon 610M,Mendocino,"Sep 20th, 2022",PCIe 4.0 x8,System Shared,1500 MHz,System Shared,128 / 8 / 4
659,Radeon 660M,Rembrandt,"Jan 4th, 2022",PCIe 4.0 x8,System Shared,1500 MHz,System Shared,384 / 24 / 16
660,Radeon 680M,Rembrandt,"Jan 4th, 2022",PCIe 4.0 x8,System Shared,2000 MHz,System Shared,768 / 48 / 32
661,Radeon Graphics 128SP,Raphael,"Sep 27th, 2022",PCIe 4.0 x8,System Shared,400 MHz,System Shared,128 / 8 / 4
662,Radeon PRO W6300,Navi 24,"Jan 19th, 2022",PCIe 4.0 x4,"2 GB, GDDR6, 32 bit",1512 MHz,2000 MHz,768 / 48 / 32
663,Radeon PRO W6300M,Navi 24,"Jan 19th, 2022",PCIe 4.0 x4,"2 GB, GDDR6, 32 bit",1512 MHz,2000 MHz,768 / 48 / 32
664,Radeon PRO W6400,Navi 24,"Jan 19th, 2022",PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",2039 MHz,2000 MHz,768 / 48 / 32
665,Radeon PRO W6500M,Navi 24,Never Released,PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",1512 MHz,2000 MHz,1024 / 64 / 32
666,Radeon RX 6300M,Navi 24,Never Released,PCIe 4.0 x4,"2 GB, GDDR6, 32 bit",1000 MHz,2000 MHz,768 / 48 / 32
667,Radeon RX 6400,Navi 24,"Jan 19th, 2022",PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",1923 MHz,2000 MHz,768 / 48 / 32
668,Radeon RX 6500 XT,Navi 24,"Jan 19th, 2022",PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",2310 MHz,2248 MHz,1024 / 64 / 32
669,Radeon RX 6500M,Navi 24,"Jan 4th, 2022",PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",2000 MHz,2250 MHz,1024 / 64 / 32
670,Radeon RX 6600S,Navi 23,"Jan 4th, 2022",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1700 MHz,1750 MHz,1792 / 112 / 64
671,Radeon RX 6650 XT,Navi 23,"May 10th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",2055 MHz,2190 MHz,2048 / 128 / 64
672,Radeon RX 6650M,Navi 23,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",2068 MHz,2000 MHz,1792 / 112 / 64
673,Radeon RX 6650M XT,Navi 23,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",2068 MHz,2000 MHz,2048 / 128 / 64
674,Radeon RX 6700S,Navi 23,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1700 MHz,1750 MHz,1792 / 112 / 64
675,Radeon RX 6750 XT,Navi 22,"Mar 3rd, 2022",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2150 MHz,2250 MHz,2560 / 160 / 64
676,Radeon RX 6800S,Navi 23,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1800 MHz,2000 MHz,2048 / 128 / 64
677,Radeon RX 6850M XT,Navi 22,"Jan 4th, 2022",PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2321 MHz,2000 MHz,2560 / 160 / 64
678,Radeon RX 6950 XT,Navi 21,"May 10th, 2022",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1860 MHz,2250 MHz,5120 / 320 / 128
679,Radeon RX 7900 XT,Navi 31,"Nov 3rd, 2022",PCIe 4.0 x16,"20 GB, GDDR6, 320 bit",1500 MHz,2500 MHz,5376 / 336 / 192
680,Radeon RX 7900 XTX,Navi 31,"Nov 3rd, 2022",PCIe 4.0 x16,"24 GB, GDDR6, 384 bit",1855 MHz,2500 MHz,6144 / 384 / 192
681,Radeon RX 7950 XT,Navi 31,Unknown,PCIe 4.0 x16,"20 GB, GDDR6, 320 bit",1500 MHz,2500 MHz,5376 / 336 / 192
682,Radeon RX 7950 XTX,Navi 31,Unknown,PCIe 4.0 x16,"24 GB, GDDR6, 384 bit",1900 MHz,2500 MHz,6144 / 384 / 192
683,Steam Deck GPU,Van Gogh,"Feb 25th, 2022",IGP,"16 GB, LPDDR5, 128 bit",1000 MHz,1375 MHz,512 / 32 / 16
684,Arc A310,DG2-128,2022,PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",2000 MHz,1937 MHz,768 / 32 / 16
685,Arc A350,DG2-128,2022,PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",2000 MHz,1937 MHz,768 / 48 / 24
686,Arc A350M,DG2-128,"Mar 30th, 2022",PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",1150 MHz,1750 MHz,768 / 48 / 24
687,Arc A370M,DG2-128,"Mar 30th, 2022",PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",1550 MHz,1750 MHz,1024 / 64 / 32
688,Arc A380,DG2-128,"Jun 14th, 2022",PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",2000 MHz,1937 MHz,1024 / 64 / 32
689,Arc A550M,DG2-512,2022,PCIe 4.0 x16,"8 GB, GDDR6, 128 bit",900 MHz,1750 MHz,2048 / 128 / 64
690,Arc A580,DG2-512,2022,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1700 MHz,2000 MHz,3072 / 192 / 96
691,Arc A730M,DG2-512,2022,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",1100 MHz,1750 MHz,3072 / 192 / 96
692,Arc A750,DG2-512,"Oct 12th, 2022",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",2050 MHz,2000 MHz,3584 / 224 / 112
693,Arc A770,DG2-512,"Oct 12th, 2022",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",2100 MHz,2000 MHz,4096 / 256 / 128
694,Arc A770M,DG2-512,2022,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1650 MHz,2000 MHz,4096 / 256 / 128
695,Arc A780,DG2-512,2022,PCIe 4.0 x16,"16 GB, GDDR6X, 256 bit",2200 MHz,1093 MHz,4096 / 256 / 128
696,Arc Pro A30M,DG2-128,"Aug 8th, 2022",PCIe 4.0 x8,"4 GB, GDDR6, 64 bit",1500 MHz,2000 MHz,1024 / 64 / 32
697,Arc Pro A40,DG2-128,"Aug 8th, 2022",PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",1500 MHz,2000 MHz,1024 / 64 / 32
698,Arc Pro A50,DG2-128,"Aug 8th, 2022",PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",2000 MHz,2000 MHz,1024 / 64 / 32
699,Arctic Sound-M,Arctic Sound,2022,PCIe 4.0 x16,"16 GB, HBM2e, 4096 bit",900 MHz,1200 MHz,8192 / 256 / 128
700,Iris Xe Graphics 80EU,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,640 / 40 / 20
701,Iris Xe Graphics 96EU,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,768 / 48 / 24
702,UHD Graphics 48EU,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,384 / 24 / 12
703,UHD Graphics 64EU,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,512 / 32 / 16
704,UHD Graphics 710,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,128 / 8 / 8
705,UHD Graphics 730,Alder Lake GT1,"Jan 4th, 2022",Ring Bus,System Shared,300 MHz,System Shared,192 / 12 / 8
706,UHD Graphics 770,Raptor Lake GT1,"Sep 27th, 2022",Ring Bus,System Shared,300 MHz,System Shared,256 / 16 / 8
707,A800 PCIe 40 GB,GA100,"Nov 8th, 2022",PCIe 4.0 x16,"40 GB, HBM2e, 5120 bit",765 MHz,1215 MHz,6912 / 432 / 160
708,A800 PCIe 80 GB,GA100,"Nov 8th, 2022",PCIe 4.0 x16,"80 GB, HBM2e, 5120 bit",1065 MHz,1512 MHz,6912 / 432 / 160
709,A800 SXM4 80 GB,GA100,"Aug 11th, 2022",PCIe 4.0 x16,"80 GB, HBM2e, 5120 bit",1275 MHz,1593 MHz,6912 / 432 / 160
710,GeForce GTX 1630,TU117,"Jun 28th, 2022",PCIe 3.0 x8,"4 GB, GDDR6, 64 bit",1740 MHz,1500 MHz,512 / 32 / 16
711,GeForce MX550,TU117,2022,PCIe 4.0 x8,"2 GB, GDDR6, 64 bit",1065 MHz,1500 MHz,1024 / 32 / 16
712,GeForce MX570,GA107,May 2022,PCIe 4.0 x8,"2 GB, GDDR6, 64 bit",832 MHz,1500 MHz,2048 / 64 / 40
713,GeForce MX570 A,GA107,May 2022,PCIe 4.0 x8,"2 GB, GDDR6, 64 bit",832 MHz,1500 MHz,2048 / 64 / 40
714,GeForce RTX 3050 4 GB,GA107,2022,PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1545 MHz,1750 MHz,2304 / 72 / 32
715,GeForce RTX 3050 8 GB,GA106,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1552 MHz,1750 MHz,2560 / 80 / 32
716,GeForce RTX 3050 8 GB GA107,GA107,"Dec 16th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1552 MHz,1750 MHz,2560 / 80 / 32
717,GeForce RTX 3050 Max-Q Refresh,GA107,"Jul 6th, 2022",PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",622 MHz,1500 MHz,2048 / 64 / 32
718,GeForce RTX 3050 Mobile Refresh,GA107,"Jul 6th, 2022",PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",1237 MHz,1500 MHz,2048 / 64 / 32
719,GeForce RTX 3050 OEM,GA106,"Jan 4th, 2022",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1515 MHz,1750 MHz,2304 / 72 / 32
720,GeForce RTX 3060 8 GB,GA106,"Oct 12th, 2022",PCIe 4.0 x16,"8 GB, GDDR6, 128 bit",1320 MHz,1875 MHz,3584 / 112 / 48
721,GeForce RTX 3060 Ti GA103,GA103,"Feb 23rd, 2022",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1410 MHz,1750 MHz,4864 / 152 / 80
722,GeForce RTX 3060 Ti GDDR6X,GA104,"Oct 19th, 2022",PCIe 4.0 x16,"8 GB, GDDR6X, 256 bit",1410 MHz,1188 MHz,4864 / 152 / 80
723,GeForce RTX 3070 Ti 16 GB,GA104,Never Released,PCIe 4.0 x16,"16 GB, GDDR6X, 256 bit",1575 MHz,1188 MHz,6144 / 192 / 96
724,GeForce RTX 3070 Ti 8 GB GA102,GA102,"Oct 21st, 2022",PCIe 4.0 x16,"8 GB, GDDR6X, 256 bit",1575 MHz,1188 MHz,6144 / 192 / 96
725,GeForce RTX 3070 Ti Max-Q,GA104,"Jan 4th, 2022",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",510 MHz,1500 MHz,5888 / 184 / 96
726,GeForce RTX 3070 Ti Mobile,GA104,"Jan 4th, 2022",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",915 MHz,1750 MHz,5888 / 184 / 96
727,GeForce RTX 3070 TiM,GA104,Nov 2022,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",915 MHz,1750 MHz,5888 / 184 / 96
728,GeForce RTX 3080 12 GB,GA102,"Jan 11th, 2022",PCIe 4.0 x16,"12 GB, GDDR6X, 384 bit",1260 MHz,1188 MHz,8960 / 280 / 96
729,GeForce RTX 3080 Ti 20 GB,GA102,Jan 2022,PCIe 4.0 x16,"20 GB, GDDR6X, 320 bit",1335 MHz,1188 MHz,10240 / 320 / 112
730,GeForce RTX 3080 Ti Max-Q,GA103,"Jan 25th, 2022",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",585 MHz,1500 MHz,7424 / 232 / 96
731,GeForce RTX 3080 Ti Mobile,GA103,"Jan 25th, 2022",PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",810 MHz,2000 MHz,7424 / 232 / 96
732,GeForce RTX 3090 Ti,GA102,"Jan 27th, 2022",PCIe 4.0 x16,"24 GB, GDDR6X, 384 bit",1560 MHz,1313 MHz,10752 / 336 / 112
733,GeForce RTX 4080,AD103,"Sep 20th, 2022",PCIe 4.0 x16,"16 GB, GDDR6X, 256 bit",2205 MHz,1400 MHz,9728 / 304 / 112
734,GeForce RTX 4080 12 GB,AD104,Never Released,PCIe 4.0 x16,"12 GB, GDDR6X, 192 bit",2310 MHz,1313 MHz,7680 / 240 / 80
735,GeForce RTX 4090,AD102,"Sep 20th, 2022",PCIe 4.0 x16,"24 GB, GDDR6X, 384 bit",2235 MHz,1313 MHz,16384 / 512 / 176
736,H100 PCIe,GH100,"Mar 22nd, 2022",PCIe 5.0 x16,"80 GB, HBM2e, 5120 bit",1125 MHz,1000 MHz,7296 / 456 / 24
737,H100 SXM5,GH100,"Mar 22nd, 2022",PCIe 5.0 x16,"80 GB, HBM3, 5120 bit",1095 MHz,1500 MHz,8448 / 528 / 24
738,H100 SXM5 96 GB,GH100,"Mar 22nd, 2022",PCIe 5.0 x16,"96 GB, HBM3, 5120 bit",1665 MHz,1500 MHz,8448 / 528 / 24
